cell	created	model	status	actual_n	completed_n	scored_n	correct	accuracy	max_tokens	max_connections	gpu_memory_utilization	sha256	path
c01s04	2026-09-04T02:29:12+00:00	vllm/runs/eval_soup2	success	400	400	400	299	0.7475	4000	32	0.85	43f9a093869cc15adbf1a2e6e918db5135c04792fad8417db16c83b477a2fb67	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-29-12+00-00_gsm8k_3Xyzp2TfAqFXhBpEMLs9Kg.json
c01s04	2026-09-04T02:31:31+00:00	vllm/runs/eval_soup3	success	400	400	400	296	0.74	4000	32	0.85	c576bad4957f8dcfbc3b408cb8c47e9908d2dbf1c1a0da60a6ab92d126cea610	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-31-31+00-00_gsm8k_T8aTsmrdzHysDxV6qi3FYX.json
c01s04	2026-09-04T02:33:30+00:00	vllm/runs/eval_soup1	success	1319	1319	1319	981	0.7437452615617892	4000	32	0.85	61425f70de7c4426ca7bbdb6bfb73ed515ac3cd2e08ee709e4e0f8498152b2b1	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-33-30+00-00_gsm8k_FPB6MgdXg4sjJbKuMoBVxs.json
c01s04	2026-09-04T02:36:43+00:00	vllm/runs/eval_soup2	success	1319	1319	1319	979	0.7422289613343442	4000	32	0.85	5d654e6b736b8e9bc7976866bb77ce2ce228b41fd954cadf5e03a01809bb462e	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-36-43+00-00_gsm8k_Ac6NxnHBp9RtMNKn8Ei244.json
c01s04	2026-09-04T02:39:49+00:00	vllm/runs/eval_b70	success	1319	1319	1319	993	0.7528430629264594	4000	32	0.85	d2cd5077bea0bea8ed86ea9ecaaae8ad8f863b6658091a1647703469c6649279	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-39-49+00-00_gsm8k_UCNV3hoFEd5zrHugdsuUE8.json
c01s04	2026-09-04T02:49:29+00:00	vllm/runs/eval_b105	success	1319	1319	1319	978	0.7414708112206216	4000	32	0.85	4251312059200d6c4cd067cfc7b82421057f5749716067d4f0b309eea0dba771	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-49-29+00-00_gsm8k_BYeNFPpFuQNPrVGVKfg9Q5.json
c01s04	2026-09-04T02:52:36+00:00	vllm/runs/eval_b160	success	1319	1319	1319	986	0.7475360121304018	4000	32	0.85	e3fe1523fb999a3713b1385a246320674fbdcd1d4cfffa72105c12ae41b694b9	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-52-36+00-00_gsm8k_k9intyp4y52ZMmeG7VrH9F.json
c01s04	2026-09-04T02:59:45+00:00	vllm/runs/eval_b70_rp	success	1319	1319	1319	978	0.7414708112206216	4000	32	0.85	314bd4755ac76acf223c9d26451f36783820afc2b9dae13d35e07aebfe109e50	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-59-45+00-00_gsm8k_nRmE6zjVeJDj4qzsNCGk4f.json
c01s04	2026-09-04T03:04:23+00:00	vllm/final_model	success	150	150	150	107	0.7133333333333334	4000	2	0.3	7fb2931ebc9d353ddfed3620e9ea232bd0957b6afb5a6673dec4590bc46e1c03	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T03-04-23+00-00_gsm8k_bgnktwrraB9GPjLxhSQ4hb.json
c01s07	2026-09-03T18:43:42+00:00	vllm//home/ben/hf_cache/hub/models--google--gemma-3-4b-pt/snapshots/cc012e0a6d0787b4adcc0fa2c4da74402494554d	success	150	150	150	3	0.02	1024	32	0.35	bd6728e539a9db33a201d4fd89e4e5a7149f3b977548b3c2fb26a71ef29089e1	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s07_formal_r4/gsm8k_google_gemma-3-4b-pt_90819/task/logs/2026-09-03T18-43-42+00-00_gsm8k_id4UnftUQxeGDE9PN244mz.json
